'PC   1'
  ,0000       ,0000       ,1600       ,1600       ,2500      4,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,9600       19,22       20,89       ,2900      6,0000E-02   ,0000       ,0000       ,0000       ,0000      9,0000E-02
 1,0000E-02   ,0000      8,0000E-02   1,190       1,480       ,3500       ,2400      5,0000E-02   ,0000       ,0000       ,0000       ,0000    
 4,0000E-02   ,0000       ,4100       ,7900       ,5000       ,2300      4,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,2400       1,080       1,910       ,5200       ,2200      4,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000      8,0000E-02   ,3800       ,1500      6,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
 1,0000E-02   ,1400       ,3000       3,140       8,230       ,3600       ,1600       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,4900       3,430       45,85       11,02       19,12       ,4100       ,2600      3,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,4800       ,1600       ,3700       ,1800       ,1200       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       1,110       2,210       5,970       ,3100       ,1400       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,2300       ,6700       ,3700       6,800       7,400       ,3600       ,2600      5,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,3900       ,5500       1,010       ,4000       ,2100      3,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,1500       ,0000       ,0000       ,0000       ,6400       ,1000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
 4,0000E-02   ,6000       7,920       ,2700      9,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       1,410       ,3700       ,1700      1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,6100       ,4100       ,2500      6,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,2300       ,5900       8,640       7,880       6,810       ,1500       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,3900       8,430       20,17       7,350       4,280       ,3400      7,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,1900       4,400       20,02       4,700       7,420       ,2100      1,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,5700       ,2100       ,2100       ,4400      7,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
 8,0000E-02   ,2500       ,1300       16,58       14,95       ,3500       ,1500       ,0000       ,0000       ,0000       ,0000       ,0000    
'PC   5'
  ,0000      3,0000E-02   ,1400       ,4500      1,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      1,0000E-02   ,5900       ,9400      2,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
 1,0000E-02  2,0000E-02  5,0000E-02   1,530      5,0000E-02  2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000      3,0000E-02   ,7800       ,3300       ,3900      2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      1,0000E-02   ,0000       ,0000       ,0000      1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000      1,0000E-02  1,0000E-02  2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000      6,0000E-02   1,250       1,360      2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000      1,0000E-02
  ,0000       ,0000      1,0000E-02  8,0000E-02   ,1000      2,0000E-02  2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000      3,0000E-02  5,0000E-02  3,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000      2,0000E-02  7,0000E-02   ,1200      3,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      1,0000E-02  2,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      1,0000E-02  2,0000E-02   ,2000       ,5400      2,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
 3,0000E-02   ,2200       2,980       ,7200       1,240      3,0000E-02  2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000      3,0000E-02  1,0000E-02  2,0000E-02  1,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      7,0000E-02   ,1400       ,3900      2,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
 1,0000E-02  4,0000E-02  2,0000E-02   ,4400       ,4800      2,0000E-02  2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      3,0000E-02  4,0000E-02  7,0000E-02  3,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
 1,0000E-02   ,0000       ,0000       ,0000      4,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      4,0000E-02   ,5200      2,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000      9,0000E-02  2,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000      4,0000E-02  3,0000E-02  2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      1,0000E-02  4,0000E-02   ,5600       ,5100       ,4400      1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      3,0000E-02   ,5500       1,310       ,4800       ,2800      2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      1,0000E-02   ,2900       1,300       ,3100       ,4800      1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000      4,0000E-02  1,0000E-02  1,0000E-02  3,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
 1,0000E-02  2,0000E-02  1,0000E-02   1,080       ,9700      2,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
'PC   6'
 6,0000E-02   ,1700       4,320       5,790       ,2300       ,1100       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      7,0000E-02   3,390       13,50       ,3000       ,1400       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
 8,0000E-02   ,3000       ,6900       27,34       2,780       ,2600      9,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,2900       9,060       3,140       2,240       ,2300      2,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000      5,0000E-02   ,0000       ,0000      8,0000E-02  3,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      2,0000E-02   ,1200       ,1700       ,4000       ,1000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,5500       7,650       17,16       ,2400      5,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,0000       ,6600       ,2600       ,1700      5,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,1000       ,0000       ,2300       ,5700       ,2800       ,1200       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000      2,0000E-02   ,6900       ,4500       ,4200       ,1700      2,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,1400       ,1200      5,0000E-02   ,1000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      7,0000E-02   ,2500       1,820       6,420       ,3100       ,1700      1,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,2500       ,7000       27,36       20,14       22,71       ,3000       ,1900      1,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,2700       ,1100       ,2400       ,1500      8,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,6200       ,3100       ,4100       ,2300      9,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,1500       ,4600       ,2600       7,180       5,600       ,3100       ,2300      4,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,2300       ,4000       ,7200       ,3800       ,1800      2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,0000       ,0000       ,3100      3,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
