//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 2851021
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
02851021;2;1/2/1960;1;51;131,2;3;8;1;1;0;1628,2;1;0;0;51;14,8;10;0;0;0;0;0;0;0;0;14,4;0;14;4,8;9,4;12,8;0;0;0;0;0;0;0;0;0;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
02851021;2;1/3/1960;1;50;150,8;2;12;1;1;0;1628,2;1;5,4;50;8,4;7,5;9,8;0;0;0;0;0;10;2;22;6,8;0;0;0;18,4;0;0;8;2,5;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/4/1960;1;34;95,4;17;6;1;1;0;1628,2;1;0;0;10;29,8;0;2;11,8;7,8;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02851021;2;1/5/1960;1;61;116,9;29;6;1;1;0;1628,2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;9,4;4,8;16,7;5;0;0;0;0;0;0;0;0;0;61;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/6/1960;1;41,4;177,6;21;7;1;1;0;1628,2;1;0;0;0;0;0;40,6;0;0;0;0;0;0;0;0;7,8;15,4;0;0;0;0;41,4;24;22;26,4;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02851021;2;1/7/1960;1;50,4;103,4;31;6;1;1;0;1628,2;1;0;0;0;0;0;0;0;10,4;0;0;0;0;0;0;0;0;0;4,6;0;0;0;26,8;7;4,2;0;0;0;0;0;0;50,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/8/1960;1;82,4;212,8;31;8;1;1;0;1628,2;1;5,6;0;8,6;0;0;0;0;0;0;0;0;0;0;32;0;0;11,4;50;0;0;0;0;0;0;6,8;0;0;0;0;16;82,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/9/1960;1;41,2;194,8;18;9;1;1;0;1628,2;1;20,6;0;0;0;0;0;0;26,4;0;0;0;0;0;8,4;0;0;33,4;41,2;0;0;0;0;22,4;33;6,4;3;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02851021;2;1/10/1960;1;35;152,9;24;12;1;1;0;1628,2;1;0;0;0;0;0;4;0;0;20;0;0;0;4,5;3,4;0;6;13,4;2;0;6,4;0;0;20,4;35;12,8;0;25;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/11/1960;1;23,8;114,8;27;11;1;1;0;1628,2;1;5,8;21;0;7,4;0;0;0;5,4;0;0;17;21,4;5;0;2,6;0;0;0;0;0;0;0;0;0;0;0;23,8;3;0;2,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02851021;2;1/12/1960;1;25;71,6;17;5;1;1;0;1628,2;1;12;0;0;0;0;0;0;0;0;0;0;0;20,6;0;0;0;25;10,4;0;0;0;0;0;3,6;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/1/1961;1;51,6;211,2;1;8;1;1;0;2244,3;1;51,6;0;0;27,4;0;50;21,4;0;0;0;18,6;0;0;0;0;0;6,8;18;0;0;0;17,4;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/2/1961;1;54,6;149;6;8;1;1;0;2244,3;1;0;0;6;0;0;54,6;0;4,6;0;0;33;0;0;0;0;0;0;0;0;7,8;0;12;14,6;0;0;0;16,4;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
02851021;2;1/3/1961;1;60;220;17;10;1;1;0;2244,3;1;0;0;0;0;17;0;0;0;7,4;0;5,8;21,4;25,6;9,4;0;0;60;21,6;0;0;39,8;0;0;0;0;12;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
