 WARNING:  PROBLEM IS POORLY SCALED.  THE UNITS
 OF THE ROWS AND VARIABLES SHOULD BE CHANGED SO
 THE COEFFICIENTS COVER A MUCH SMALLER RANGE.


 LP OPTIMUM FOUND AT STEP   2000
 OBJECTIVE VALUE =  0.000000000E+00


 NEW INTEGER SOLUTION OF   0.000000000E+00 AT BRANCH      0 PIVOT    2000
 BOUND ON OPTIMUM: 0.0000000E+00
 ENUMERATION COMPLETE. BRANCHES=     0 PIVOTS=    2000

 LAST INTEGER SOLUTION IS THE BEST FOUND
 RE-INSTALLING BEST SOLUTION...

        OBJECTIVE FUNCTION VALUE

       FO)     0.0000000E+00

  VARIABLE        VALUE          REDUCED COST
     QJ145  35247744.000000          0.000000
     QM085         0.000000          0.000000
     SF085  10529699.000000          0.000000
     SI085         0.000000          0.000000
     PR085      1274.000000          0.000000
     EV085     54238.796875          0.000000
     DM085  13392000.000000          0.000000
     QJ085 128185240.000000          0.000000
     QM075   9454752.000000          0.000000
     RT065         0.000000          0.000000
     SF075         0.000000          0.000000
     SI075         0.000000          0.000000
     PR075         0.000000          0.000000
     EV075         0.000000          0.000000
     DM075  13392000.000000          0.000000
     QJ075         0.000000          0.000000
     QM095 141577248.000000          0.000000
     RT085  13392000.000000          0.000000
     DM095  10713600.000000          0.000000
     QJ095 140452320.000000          0.000000
     QM165  99931104.000000          0.000000
     RT155         0.000000          0.000000
     RT145         0.000000          0.000000
     SF165         0.000000          0.000000
     SI165         0.000000          0.000000
     PR165         0.000000          0.000000
     EV165         0.000000          0.000000
     DM165  13392000.000000          0.000000
     QJ165 105421824.000000          0.000000
     QM025   6669216.000000          0.000000
     RT015         0.000000          0.000000
     SF025         0.000000          0.000000
     SI025         0.000000          0.000000
     PR025         0.000000          0.000000
     EV025         0.000000          0.000000
     DM025  13392000.000000          0.000000
     QJ025  11142144.000000          0.000000
     QM105 146880480.000000          0.000000
     RT095   6428160.000000          0.000000
     SF105         0.000000          0.000000
     SI105         0.000000          0.000000
     PR105         0.000000          0.000000
     EV105         0.000000          0.000000
     DM105  13392000.000000          0.000000
     QJ105 193645344.000000          0.000000
     QM045  72343584.000000          0.000000
     RT035         0.000000          0.000000
     RT025  13392000.000000          0.000000
     SF045         0.000000          0.000000
     SI045         0.000000          0.000000
     PR045         0.000000          0.000000
     EV045         0.000000          0.000000
     DM045  13392000.000000          0.000000
     QJ045  81503712.000000          0.000000
     QM055  94895712.000000          0.000000
     RT045  13392000.000000          0.000000
     SF055         0.000000          0.000000
     SI055         0.000000          0.000000
     PR055         0.000000          0.000000
     EV055         0.000000          0.000000
     DM055  13392000.000000          0.000000
     QJ055 111475008.000000          0.000000
     QM115 345296352.000000          0.000000
     RT075  13392000.000000          0.000000
     RT105  13392000.000000          0.000000
     RT055  13392000.000000          0.000000
     DM115  13392000.000000          0.000000
     QJ115 407569152.000000          0.000000
     QM135 479564544.000000          0.000000
     RT125  13392000.000000          0.000000
     RT115  13392000.000000          0.000000
     DM135  13392000.000000          0.000000
     QJ135 554452608.000000          0.000000
     QM175 686658432.000000          0.000000
     RT165  13392000.000000          0.000000
     RT135  13392000.000000          0.000000
     SF175         0.000000          0.000000
     SI175         0.000000          0.000000
     PR175         0.000000          0.000000
     EV175         0.000000          0.000000
     DM175  13392000.000000          0.000000
     QJ175 717460032.000000          0.000000
     QM185 730852032.000000          0.000000
     RT175  13392000.000000          0.000000
     DM185  13392000.000000          0.000000
     QJ185 767492544.000000          0.000000
     QM066         0.000000          0.000000
     DM066   2384640.000000          0.000000
     QJ066   9927360.000000          0.000000
     QM036         0.000000          0.000000
     DM036         0.000000          0.000000
     QJ036  45048960.000000          0.000000
     QM126         0.000000          0.000000
     SF126         0.000000          0.000000
     SI126         0.000000          0.000000
     PR126         0.000000          0.000000
     EV126         0.000000          0.000000
     DM126  12960000.000000          0.000000
     QJ126  27345600.000000          0.000000
     QM016         0.000000          0.000000
     DM016  12960000.000000          0.000000
     QJ016   1270080.000000          0.000000
     QM156         0.000000          0.000000
     DM156  12960000.000000          0.000000
     QJ156  54898560.000000          0.000000
     QM146         0.000000          0.000000
     DM146         0.000000          0.000000
     QJ146  42249600.000000          0.000000
     QM086         0.000000          0.000000
     SF086 100000000.000000          0.000000
     SI086  10529699.000000          0.000000
     PR086         0.000000          0.000000
     EV086    342499.093750          0.000000
     DM086  12960000.000000          0.000000
     QJ086         0.000000          0.000000
     QM076   9927360.000000          0.000000
     RT066         0.000000          0.000000
     SF076         0.000000          0.000000
     SI076         0.000000          0.000000
     PR076         0.000000          0.000000
     EV076         0.000000          0.000000
     DM076  12960000.000000          0.000000
     QJ076         0.000000          0.000000
     QM096  12960000.000000          0.000000
     RT086  12960000.000000          0.000000
     DM096  10368000.000000          0.000000
     QJ096  10549440.000000          0.000000
     QM166  97148160.000000          0.000000
     RT156         0.000000          0.000000
     RT146         0.000000          0.000000
     SF166         0.000000          0.000000
     SI166         0.000000          0.000000
     PR166         0.000000          0.000000
     EV166         0.000000          0.000000
     DM166  12960000.000000          0.000000
     QJ166  97640640.000000          0.000000
     QM026   1270080.000000          0.000000
     RT016         0.000000          0.000000
     SF026         0.000000          0.000000
     SI026         0.000000          0.000000
     PR026         0.000000          0.000000
     EV026         0.000000          0.000000
     DM026  12960000.000000          0.000000
     QJ026   2851200.000000          0.000000
     QM106  16770240.000000          0.000000
     RT096   6220800.000000          0.000000
     SF106         0.000000          0.000000
     SI106         0.000000          0.000000
     PR106         0.000000          0.000000
     EV106         0.000000          0.000000
     DM106  12960000.000000          0.000000
     QJ106  36961920.000000          0.000000
     QM046  60860160.000000          0.000000
     RT036         0.000000          0.000000
     RT026  12960000.000000          0.000000
     SF046         0.000000          0.000000
